,value,Iteration,Model,Dataset,DataType
5,79.90654205607476,5,sparselabelpropagation,musk,image
6,76.40186915887851,6,sparselabelpropagation,musk,image
7,78.03738317757009,7,sparselabelpropagation,musk,image
8,79.2056074766355,8,sparselabelpropagation,musk,image
9,77.33644859813084,9,sparselabelpropagation,musk,image
0,80.60747663551402,0,centeredkernel,musk,image
1,80.84112149532709,1,centeredkernel,musk,image
2,82.47663551401871,2,centeredkernel,musk,image
3,77.80373831775701,3,centeredkernel,musk,image
4,78.97196261682242,4,centeredkernel,musk,image
5,80.84112149532709,5,centeredkernel,musk,image
6,84.11214953271029,6,centeredkernel,musk,image
7,80.14018691588784,7,centeredkernel,musk,image
8,75.93457943925233,8,centeredkernel,musk,image
9,79.67289719626169,9,centeredkernel,musk,image
0,99.93815708101424,0,laplace,digits,image
1,99.87631416202845,1,laplace,digits,image
2,83.98268398268398,2,laplace,digits,image
3,99.69078540507113,3,laplace,digits,image
4,99.81447124304268,4,laplace,digits,image
5,99.87631416202845,5,laplace,digits,image
6,99.75262832405691,6,laplace,digits,image
7,99.69078540507113,7,laplace,digits,image
8,99.87631416202845,8,laplace,digits,image
9,99.75262832405691,9,laplace,digits,image
0,99.81447124304268,0,randomwalk,digits,image
1,99.62894248608536,1,randomwalk,digits,image
2,99.56709956709958,2,randomwalk,digits,image
3,99.5052566481138,3,randomwalk,digits,image
4,99.75262832405691,4,randomwalk,digits,image
5,99.69078540507113,5,randomwalk,digits,image
6,99.75262832405691,6,randomwalk,digits,image
7,99.38157081014224,7,randomwalk,digits,image
8,99.5052566481138,8,randomwalk,digits,image
9,99.81447124304268,9,randomwalk,digits,image
0,99.87631416202845,0,wnll,digits,image
1,99.87631416202845,1,wnll,digits,image
2,99.75262832405691,2,wnll,digits,image
3,99.81447124304268,3,wnll,digits,image
4,99.81447124304268,4,wnll,digits,image
5,99.93815708101424,5,wnll,digits,image
6,99.81447124304268,6,wnll,digits,image
7,99.87631416202845,7,wnll,digits,image
8,99.75262832405691,8,wnll,digits,image
9,99.93815708101424,9,wnll,digits,image
0,99.81447124304268,0,mean_shifted_laplace,digits,image
1,99.81447124304268,1,mean_shifted_laplace,digits,image
2,100.0,2,mean_shifted_laplace,digits,image
3,99.81447124304268,3,mean_shifted_laplace,digits,image
4,99.87631416202845,4,mean_shifted_laplace,digits,image
